IND_ID,IND_CODE,IND_UUID,IND_PER_CODE,DIM_TIME,DIM_TIME_TYPE,DIM_GEO_CODE_M49,DIM_GEO_CODE_TYPE,DIM_PUBLISH_STATE_CODE,IND_NAME,GEO_NAME_SHORT,RATE_PER_100000_N
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,352,COUNTRY,PUBLISHED,Road traffic deaths,Iceland,2.4
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,356,COUNTRY,PUBLISHED,Road traffic deaths,India,14.6
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,360,COUNTRY,PUBLISHED,Road traffic deaths,Indonesia,11.3
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,364,COUNTRY,PUBLISHED,Road traffic deaths,Iran (Islamic Republic of),20.6
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,368,COUNTRY,PUBLISHED,Road traffic deaths,Iraq,21.5
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,372,COUNTRY,PUBLISHED,Road traffic deaths,Ireland,2.8
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,376,COUNTRY,PUBLISHED,Road traffic deaths,Israel,4.2
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,380,COUNTRY,PUBLISHED,Road traffic deaths,Italy,5.0
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,384,COUNTRY,PUBLISHED,Road traffic deaths,Côte d'Ivoire,20.6
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,388,COUNTRY,PUBLISHED,Road traffic deaths,Jamaica,17.8
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,392,COUNTRY,PUBLISHED,Road traffic deaths,Japan,2.7
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,398,COUNTRY,PUBLISHED,Road traffic deaths,Kazakhstan,12.2
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,400,COUNTRY,PUBLISHED,Road traffic deaths,Jordan,13.6
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,404,COUNTRY,PUBLISHED,Road traffic deaths,Kenya,28.2
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,410,COUNTRY,PUBLISHED,Road traffic deaths,Republic of Korea,6.9
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,414,COUNTRY,PUBLISHED,Road traffic deaths,Kuwait,9.2
